subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
102,1,1,0.139,2.6584,-0.0901,0.0901,1.7484,-0.0805,0.0805,0.531,-0.1226,0.1226,1.8093,-0.1078,0.1078,1.5985,-0.1031,0.1031,6.1182,-0.1213,0.1213,1.4012,-0.1021,0.1021,1.737,-0.1052,0.1052,0.3256,-0.0819,0.0819,-24.4264,-28.1996,28.1996
102,1,2,0.1524,5.7325,-0.1511,0.1511,1.2496,-0.1149,0.1149,0.6438,-0.1637,0.1637,1.3112,-0.115,0.115,1.8846,-0.1034,0.1034,2.3127,-0.1192,0.1192,1.3282,-0.0838,0.0838,0.7142,-0.0982,0.0982,0.2226,-0.1137,0.1137,2.7245,-0.1092,0.1092
102,1,3,0.0716,1.3682,-0.0807,0.0807,0.3834,-0.1134,0.1134,0.1741,-0.1206,0.1206,1.1741,-0.0982,0.0982,1.8343,-0.11,0.11,1.1752,-0.1073,0.1073,1.4889,-0.1586,0.1586,4.139,-0.0978,0.0978,0.3666,-0.0926,0.0926,0.4959,-0.1282,0.1282
102,1,4,0.1198,0.3312,-0.0932,0.0932,0.4074,-0.1138,0.1138,0.166,-0.1094,0.1094,1.7039,-0.0992,0.0992,2.7126,-0.098,0.098,1.1271,-0.1026,0.1026,1.4015,-0.0622,0.0622,11.7881,-0.1007,0.1007,0.9504,-0.0879,0.0879,0.4959,-0.101,0.101
102,1,5,0.0937,0.9891,-0.0973,0.0973,0.4773,-0.0898,0.0898,0.1583,-0.1154,0.1154,0.9359,-0.1095,0.1095,-26.6294,-27.627,27.627,1.5996,-0.1286,0.1286,0.5302,-0.0814,0.0814,0.3605,-0.0999,0.0999,0.3878,-0.1168,0.1168,1.1209,-0.0971,0.0971
102,1,6,0.1256,0.5774,-0.0999,0.0999,0.4018,-0.1164,0.1164,0.195,-0.1201,0.1201,1.4882,-0.107,0.107,2.2212,-0.125,0.125,0.7158,-0.114,0.114,0.6908,-0.104,0.104,0.2702,-0.1065,0.1065,0.522,-0.1074,0.1074,1.2904,-0.1106,0.1106
102,1,7,0.1185,0.9093,-0.0932,0.0932,0.4155,-0.1099,0.1099,0.181,-0.0988,0.0988,0.7849,-0.0976,0.0976,0.8684,-0.0902,0.0902,0.8229,-0.1078,0.1078,0.6498,-0.097,0.097,0.2353,-0.1052,0.1052,0.4542,-0.1011,0.1011,0.5377,-0.1256,0.1256
102,1,8,0.1067,1.2007,-0.0928,0.0928,0.9167,-0.1097,0.1097,0.7501,-0.1247,0.1247,0.8167,-0.2113,0.2113,1.5785,-0.123,0.123,1.3335,-0.1177,0.1177,0.5185,-0.1301,0.1301,0.3971,-0.1097,0.1097,0.3908,-0.1123,0.1123,0.3153,-0.1263,0.1263
102,1,9,0.1124,2.0602,-0.1096,0.1096,1.384,-0.1226,0.1226,0.1921,-0.0963,0.0963,1.5389,-0.1138,0.1138,0.8082,-0.1315,0.1315,1.4184,-0.1463,0.1463,0.5407,-0.109,0.109,0.3844,-0.1084,0.1084,0.3594,-0.1245,0.1245,0.8501,-0.1108,0.1108
102,1,10,0.1539,0.4096,-0.1233,0.1233,0.5102,-0.1972,0.1972,0.2594,-0.1279,0.1279,0.9517,-0.1731,0.1731,-10.6032,-11.6446,11.6446,1.1047,-0.1301,0.1301,1.88,-0.1638,0.1638,0.6166,-0.115,0.115,0.4118,-0.1728,0.1728,0.7407,-0.1032,0.1032
